infraorder,superfamily,family,primate_species,prey,prey_order,prey_family
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,passeriformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,pelicaniformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,piciformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,psittaciformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,psittaciformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,tinnaniformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,aves,NA,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,chiroptera,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,didelphimorphia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,primates,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_apella,mammalia,rodentia,cebidae
haplorrhini,simmiformes,cebidae,sapajus_flavius,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,sapajus_flavius,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,sapajus_flavius,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,sapajus_libidinosus,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,sapajus_libidinosus,reptilia,squamata,cebidae
haplorrhini,simmiformes,cebidae,sapajus_nigritus,aves,pelicaniformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_nigritus,aves,piciformes,cebidae
haplorrhini,simmiformes,cebidae,sapajus_xanthosternos,mammalia,primates,cebidae
haplorrhini,simmiformes,pitheciidae,cacajao_calvus,reptilia,squamata,pitheciidae
haplorrhini,simmiformes,pitheciidae,cacajao_melanocephala,amphibia,anura,pitheciidae
haplorrhini,simmiformes,pitheciidae,cacajao_ouakary,reptilia,chelonidae,pitheciidae
haplorrhini,simmiformes,pitheciidae,callicebus_coimbrai,aves,passeriformes,pitheciidae
haplorrhini,simmiformes,cercopithecidae,allenopithecus_nigriviridis,teleostei,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercocebus_galeritus,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_ascanius,aves,columbiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_campbelli,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_cephus,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_petaurista,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_diana,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_l'hoesti,aves,"birds, unid. spp. e125",cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,galliformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,strigiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,primates,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_mitis,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,cercopithecus_neglectus,teleostei,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_pygerythrus,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_pygerythrus,aves,pelicaniformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,bucerotiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,columbiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,mammalia,lagomorpha,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,chlorocebus_sabaeus,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,erthyrocebus_patas,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,erthyrocebus_patas,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,amphibia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,reptilia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,mammalia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_assamensis,vertebrata,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fascicularis,teleostei,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fascicularis,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_fuscata,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,cuculiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,galliformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_leonina,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nemestrina,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nemestrina,vertebrata,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nigra,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nigra,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nigra,aves,galliformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nigra,aves,passeriformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_nigra,mammalia,chiroptera,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_radiata,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_silenus,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_sinica,amphibia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_sinica,reptilia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,macaca_sinica,mammalia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_leucophaeus,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_leucophaeus,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_sphinx,amphibia,anura,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_sphinx,reptilia,testudines,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_sphinx,mammalia,artiodactyla,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_sphinx,mammalia,eulipotyphla,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,mandrillus_sphinx,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,miopithecus_talapoensis,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,miopithecus_talapoensis,mammalia,rodentia,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,teleostei,cypriniformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,teleostei,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,squamata,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,reptilia,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,aves,charadriiformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,aves,galliformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,aves,galliformes,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,aves,NA,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,mammalia,artiodactyla,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,mammalia,artiodactyla,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,mammalia,artiodactyla,cercopithecidae
haplorrhini,simmiformes,cercopithecidae,papio_anubis,mammalia,artiodactyla,cercopithecidae
