species,mean_brain,diet_category,per_fruit,mean_groupsize,social_system,mating_system,tool_type,body_weight,infraorder,superfamily,family,prey,prey_order,prey_family,use_tools,genus,meat_eater
macaca_leonina,90,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,"aves, mammalia","cuculiformes, galliformes, NA, rodentia","Cuculidae, Phasianidae, NA, Sciuridae",0,macaca,1
macaca_maura,106.67142857142856,NA,NA,NA,NA,NA,NA,NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,macaca,0
macaca_mulatta,80.6847665025321,Frug,63,33.61290322580645,polygynandry,polygynandry,"Multiple accounts of captive individuals preparing, transporting, and capturing food with tools",6471.73,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,1,macaca,0
macaca_nemestrina,106.19761348143953,Frug,75,31.56,polygynandry,polygynandry,Multiple accounts of captive individuals using tools to capture food and perform physical maintenance,7244.593333333333,haplorrhini,simmiformes,cercopithecidae,"mammalia, vertebrata","rodentia, NA","Muridae, NA",1,macaca,1
macaca_nigra,97.02413333333334,Frug,NA,47,polygynandry,polygynandry,Anecdotal evidence of captive individuals using tools to extract food,7662.195,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, aves, mammalia","anura, squamata, galliformes, passeriformes, chiroptera","NA, Gekkonidae, Phasianidae, Monarchidae, Pteropodidae",1,macaca,1
macaca_radiata,79.46647348825516,Frug,53,29.05,polygynandry,polygynandry,Anecdotal evidence of free individuals using tools to perform physical maintenance,5877.495,haplorrhini,simmiformes,cercopithecidae,squamata,squamata,NA,1,macaca,1
macaca_silenus,82.88,Om,NA,19,polygynandry,polygynandry,"Multiple accounts of free individuals using tools to prepare food, captive individuals to extract and transport food, and semi free individuals to transport food",6935.125,haplorrhini,simmiformes,cercopithecidae,mammalia,rodentia,Sciuridae,1,macaca,1
macaca_sinica,65.74677110172485,Frug,75,24.8,polygynandry,polygynandry,NA,4512.995,haplorrhini,simmiformes,cercopithecidae,"amphibia, squamata, mammalia",NA,NA,0,macaca,1
macaca_sylvanus,93.4987018390168,Frug/Fol,33,21.86,polygynandry,polygynandry,NA,11173.265,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,0,macaca,0
macaca_tonkeana,NA,NA,NA,NA,NA,NA,"Multiple accounts of captive individuals using tools to extract food and perform physical maintenance, and semi free individuals using tools to capture food",NA,haplorrhini,simmiformes,cercopithecidae,NA,NA,NA,1,macaca,0
