infraorder,superfamily,family,species,prey,prey_order,prey_family,parvorder
haplorrhini,simmiformes,cebidae,cebus_albifrons,aves,passeriformes,Icteridae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_albifrons,mammalia,rodentia,Muridae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_albifrons,mammalia,didelphimorphia,Didelphidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,squamata,squamata,Iguanidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,squamata,squamata,Anolidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,squamata,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,columbiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,cuculiformes,Cuculidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,galliformes,Cracidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,galliformes,Cracidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,Corvidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,Troglodytidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,passeriformes,Troglodytidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,psittaciformes,Psittacidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,psittaciformes,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,tinaniformes,Tinanidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,trogoniformes,Trogonidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,aves,unspecified,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,carnivora,Procyanidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,chiroptera,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,Sciuridae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,Sciuridae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_capucinus,mammalia,rodentia,Echimyidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_cay,aves,passeriformes,Furnariidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_cay,aves,pelicaniformes,Threskiornithidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_cay,mammalia,rodentia,Cricetidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,amphibia,anura,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,squamata,squamata,Iguanidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,columbiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,columbiformes,Columbidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,cuculiformes,Cuculidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,galliformes,Cracidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,gruiformes,Rallidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,opisthocomiformes,Opisthocomidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,passeriformes,Tyrannidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,pelicaniformes,Threskiornithidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,struthioniformes,Tinamidae,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,aves,NA,NA,platyrrhine
haplorrhini,simmiformes,cebidae,cebus_olivaceus,mammalia,rodentia,Sciuridae,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,squamata,squamata,NA,platyrrhine
haplorrhini,simmiformes,cebidae,saimiri_boliviensis,amphibia,anura,NA,platyrrhine
